slug,title,description
161,"Area between Guyana and Venezuela, in South America","The region is made up of different habitats, including Guianan Highlands moist forests, and Guianan savanna. This region contains Intact Forest. The area has a predominantly equatorial, humid climate. The majority of the region is comprised of Tropical and Subtropical Moist Broadleaf Forests. It also includes areas of Tropical and Subtropical Grasslands, Savannas and Shrublands. The location is predominantly land area. Area of 4.57Mha located in a mix of lowland and mountainous areas."
162,"Area near Cameroon, Africa","The region is made up of different habitats, including Cross-Sanaga-Bioko coastal forests, and Cameroon Highlands forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with some marine area. Area of 7.00Mha located in a predominanty lowland area."
163,"Area between Indonesia and Malaysia, in Asia","The regions habitat is comprised of Peninsular Malaysian rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 10.82Mha located in a predominanty lowland area."
164,"Area between Kenya and Tanzania, in Africa","The region is made up of different habitats, including Dry miombo woodlands, and Southern Acacia-Commiphora bushlands and thickets. This region contains some Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Grasslands, Savannas and Shrublands. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is predominantly land area. Area of 12.80Mha located in a mix of lowland and mountainous areas."
165,"Area between Papua New Guinea and Indonesia, in Oceania","The region is made up of different habitats, including Central Range Papuan montane rain forests, and Northern New Guinea lowland rain and freshwater swamp forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 40.49Mha located in a predominanty lowland area."
166,"Area between Madagascar and Comoros, in Africa","The region is made up of different habitats, including Madagascar subhumid forests, and Madagascar humid forests. This region contains some Intact Forest. The most common environmental conditions of the area are equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 38.15Mha located in a mix of lowland and mountainous areas."
167,"Area in Queensland, Australia","The majority of the regions habitat is comprised of Einasleigh upland savanna. It also includes areas of Queensland tropical rain forests. This region contains some Intact Forest. The majority of the region has equatorial climate with dry winters. It also has areas of warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Grasslands, Savannas and Shrublands biome. The location is predominantly land area. Area of 2.84Mha located in a predominanty lowland area."
168,"Area between Paraná and Minas Gerais, Brazil","The region is made up of different habitats, including Bahia interior forests, and Serra do Mar coastal forests. This region contains some Intact Forest. The most common environmental conditions of the area are warm and temperate climate with dry winters and hot summers. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 17.87Mha located in a mix of lowland and mountainous areas."
169,"Area near CTM, Argentina",The majority of the regions habitat is comprised of High Monte. It also includes areas of Central Andean puna. This region has no Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of warm and temperate climate with dry winters and cool summers. It is part of the Montane Grasslands and Shrublands biome. The location is predominantly land area. Area of 1.18Mha located in a mountainous area.
170,"Area between Argentina and Chile, in South America",The majority of the regions habitat is comprised of Valdivian temperate forests. It also includes areas of Southern Andean steppe. This region has no Intact Forest. The area has a predominantly warm and temperate climate with dry summers. The majority of the region is comprised of Temperate Broadleaf and Mixed Forests. It also includes areas of Montane Grasslands and Shrublands. The location is predominantly land area. Area of 1.68Mha located in a mountainous area.
171,"Marine area between France and New Caledonia, in Europe",The majority of the regions habitat is comprised of New Caledonia dry forests. It also includes areas of New Caledonia rain forests. This region has no Intact Forest. The area has a predominantly equatorial climate with dry winters. The majority of the region is comprised of Tropical and Subtropical Dry Broadleaf Forests. It also includes areas of Tropical and Subtropical Moist Broadleaf Forests. The location is mostly marine area with some land area. Area of 581.10kha located in a predominanty lowland area.
172,"Area in Bahia, Brazil","The regions habitat is comprised of Bahia coastal forests. This region has no Intact Forest. The majority of the region has equatorial, humid climate. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.29Mha located in a predominanty lowland area."
173,"Area between Rwanda and DR Congo, in Africa",The regions habitat is comprised of Albertine Rift montane forests. This region contains some Intact Forest. The majority of the region has warm and temperate climate with dry winters and warm summers. It also has areas of equatorial climate with dry winters. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.74Mha located in a mountainous area.
174,"Area between Southeast Sulawesi and South Sulawesi, Indonesia","The majority of the regions habitat is comprised of Sulawesi lowland rain forests. It also includes areas of Sulawesi montane rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is mostly land area with a large proportion of marine area. Area of 1.16Mha located in a predominanty lowland area."
175,"Area near Ifugao, Philippines","The majority of the regions habitat is comprised of Luzon rain forests. It also includes areas of Luzon montane rain forests. This region contains some Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 2.29Mha located in a predominanty lowland area."
176,"Area in South Lower California, Mexico",The majority of the regions habitat is comprised of Baja California desert. It also includes areas of Gulf of California xeric scrub. This region has no Intact Forest. The area has a predominantly arid desert climate with hot temperatures. It is part of the Deserts and Xeric Shrublands biome. The location is mostly land area with a large proportion of marine area. Area of 2.82Mha located in a predominanty lowland area.
177,"Area between Amazonas State and Bolivar State, Venezuela","The majority of the regions habitat is comprised of Guianan Highlands moist forests. It also includes areas of Guianan piedmont moist forests. This region contains a large amount of Intact Forest. The majority of the region has equatorial, with monsoonal rainfall. It also has areas of equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a mix of lowland and mountainous areas."
178,"Area near Riau, Indonesia","The regions habitat is comprised of Sumatran lowland rain forests. This region contains some Intact Forest. The area has a predominantly equatorial, humid climate. It is part of the Tropical and Subtropical Moist Broadleaf Forests biome. The location is predominantly land area. Area of 1.16Mha located in a predominanty lowland area."
